State,Breastfeeding at 6 months (2008),Breastfeeding at 6 months (2018),People who dont breastfeed,Percent Increase,Percent Change
Oregon,62.1,72.5,27.5,16.7,72.5
California,62,66.7,33.3,7.6,66.7
Utah,60.4,62.5,37.5,3.5,62.5
Idaho,59,62.1,37.9,5.3,62.1
Washington,57.3,72.7,27.3,26.9,72.7
Nebraska,54.9,57,43,3.8,57.0
Hawaii,54.5,65.6,34.4,20.4,65.6
Vermont,53.8,70.9,29.1,31.8,70.9
Alaska,53,69.2,30.8,30.6,69.2
Arizona,51.7,55.3,44.7,7.0,55.3
Rhode Island,49.3,49.6,50.4,0.6,49.6
Colorado,48,63.9,36.1,33.1,63.9
Montana,48,61.1,38.9,27.3,61.1
New Hampshire,46.8,64.7,35.3,38.2,64.7
District of Columbia,46.7,65.5,34.5,40.3,65.5
Wyoming,46.6,59.4,40.6,27.5,59.4
Minnesota,45.9,65.3,34.7,42.3,65.3
Nevada,45.3,49.9,50.1,10.2,49.9
Texas,43.8,56.6,43.4,29.2,56.6
New York,43.5,59.5,40.5,36.8,59.5
Georgia,43.5,55.5,44.5,27.6,55.5
Kansas,43.4,58.2,41.8,34.1,58.2
Massachusetts,43.3,55.6,44.4,28.4,55.6
US National,43.1,57.6,42.4,33.6,57.6
Maryland,43,66.8,33.2,55.3,66.8
Connecticut,42.9,59.6,40.4,38.9,59.6
Virginia,42.7,62.5,37.5,46.4,62.5
New Mexico,41.8,59.8,40.2,43.1,59.8
Maine,41.2,62.1,37.9,50.7,62.1
Iowa,40.4,51.4,48.6,27.2,51.4
Wisonsin,39.2,59,41,50.5,59.0
South Dakota,38.1,62.6,37.4,64.3,62.6
North Carolina,37.5,58.8,41.2,56.8,58.8
Illinois,37.5,53,47,41.3,53.0
New Jersey,37.3,57.6,42.4,54.4,57.6
North Dakota,36.8,58.2,41.8,58.2,58.2
Florida,36.8,54,46,46.7,54.0
Pennsylvania,36.3,59.2,40.8,63.1,59.2
Indiana,35.7,53.5,46.5,49.9,53.5
Michigan,35.5,55.6,44.4,56.6,55.6
South Carolina,33.7,45.1,54.9,33.8,45.1
Ohio,31.5,53.1,46.9,68.6,53.1
Delaware,30.6,55.6,44.4,81.7,55.6
Arkansas,30.6,45.2,54.8,47.7,45.2
Missouri,30.5,57.8,42.2,89.5,57.8
Oklahoma,28.1,49,51,74.4,49.0
Alabama,25.6,39.1,60.9,52.7,39.1
Tennessee,24.1,49.8,50.2,106.6,49.8
Kentucky,23.2,48.6,51.4,109.5,48.6
West Virginia,22.5,40.1,59.9,78.2,40.1
Louisiana,21.8,39,61,78.9,39.0
Mississippi,21.8,35.4,64.6,62.4,35.4
